Selección;Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones;Cod. Base/Centro;Actuación;Etiquetas EC;F.I. Ejecucion Trabajo;F.F. Ejecucion Trabajo;SGT Nombre Supervisor;Último Comentario;Desc. Plazo Legal Ejec. (C);Estado ATOM;Inst.Particular FECHAS;Inst.Particular Fechas DEFECTOS;Contenido Obra;Desc. Base/Centro;Desc. Estado SSNN Actuación;Desc. Estado HIPPO Actuación;Empresa Colaboradora;Desc. Estado SSNN Trabajo;F.I. Ejecucion Actuación;F.F. Ejecucion Actuación;Imp. Mat. Cont. Incurr. Trabajo (C);Imp. Mat. Cont. Compr. Trabajo (C);Imp. Mat. Cont. Prev. Cierre Trabajo (C);Imp. Mat. Emp. Incurr. Trabajo (C);Imp. Mat. Emp. Compr. Trabajo (C);Imp. Mat. Emp. Prev. Cierre Trabajo (C);Imp. MO Cont. Incurr. Trabajo (C);Imp. MO Cont. Compr. Trabajo (C);Imp. MO Cont. Prev. Cierre Trabajo (C);Imp. Incurr. Trabajo (C);Imp. Compr. Trabajo (C);Imp. Prev. Cierre Trabajo (C);Inst. Sup. CT (Act);Inst. Sup. SUB (Act);Inst. Sup. LMT (Act);Inst. Sup. LAT (Act);SGM Procedencia;SGM Nivel 1;SGM Nivel 2;SGM Nivel 3;SGM Responsable;SGM Solicitante;SGM Tipo Adjudicación;Municipio;SGT Desc. Tipo Adjudicacion;SGT Nombre Tipo Obra;SGT Prov. servicio SI/NO (C);SGT Plazo Legal Ejec.;SGT F. Cobro;SGT F. PS;SGT F. Replan.;SGT F. RTE;SGT F. Alta;SGT F. Pres.;SGT F. Adjudicacion;SGM Obs. trabajo;SGM Imp. OT/ES;Empresa colaboradora OT;Brigada;F.I. Real Ejecución Trabajo;F.F. Real Ejecución Trabajo;Grupo Gestion;Marca Exportación;Desc. Trabajo;F. Límite Lote;Última aparición Trabajo;F.F Tram Ejecución;TR7;Observaciones;Material Campañas;Fecha límite legal ejecución;Incurr. Actuación Ej N (C);PdC Actuación Ej N;SGM H-H Trabajo Normal Prev.;SGM Imp. Solicitud;Fase Actuación;Fecha Ejecutable;Fecha Última Entrada;User Id Última Entrada;Fecha Última Planificación;Causa exclus. última PLA;Número de Comentarios;Cod. Pedido Concertado;Fecha Primer Cierre Prog.;Fecha Último Cierre Prog.;Prioridad UFD;Intensidad Supervision;Material Singular;Gasto/Inv. (C);Causa de Desprogramación;Imp. Actuación (C);Imp. MO Actuación (C);Responsable (C);Criterio de asignación;Obra civil;Agendado Por;Exclusiones REPLA; ORG. Inst. Particular Fecha;TIPO Inst.Particular DEFECTOS;Zona Delegación;Delegación;Fecha Alta;Próxima caducidad de trámite;Trámite Caducado;nº programaciones;Fecha Última Ejecutabilidad;Nº Reportes;Nº Reportes CSS;Nº Reportes ANOM;NDO Formal;MTTO Correctivo Urgente;Sistema Origen;GDA Cod. Solicitud;GDA Tipo Actuación;GDA Clase Actividad;GDA Estado Solicitud;GDA Tipo Instalación;GDA Nivel Tensión;Tipo red (C);Nº de STOPs;Fecha Último STOP;Expediente Digital;Causa Reagendado Trabajo;Coeficiente TTA;Agrupación TERed;Coordinador SyS;F. F. Log Ejecución;Bloqueado por Migración;Agrupadora;Código de Expediente Inicial;Motivo de Cancelación;Ejecutabilidad Parcial;Provincia;Distrito;Nº Trabajos Ejec. Parcial;Incurrido Ej N Trabajo;PdC Ej N Trabajo;Razon Revisa;Estado Interno PLA;Alerta Trabajo;Estado Propuesto OT;Ejecutable
FALSE;418117020499.1;P.S.: PRECIADOS, 10 MADRID;PEND.INST.PART;0;;9182;4,18117E+11;;16/07/2024;26/07/2024;;;Necesidad de ampliar la red BT.;RETROCEDIDO;;03/03/2017;;OP MAD CAPITAL SUR;COBRO UNICO;PLANIFICADA;EIFFAGE;PRESUPUESTO ELABORADO;16/07/2024;26/07/2024;0,00 €;72,46 €;72,46 €;0,00 €;0,00 €;0,00 €;0,00 €;44,63 €;44,63 €;0,00 €;117,09 €;117,09 €;;;;;;;;;;;;MADRID;LLAVE EN MANO;PROVISION DE SERVICIOS;SI;30;14/02/2019;;;;03/03/2017;24/04/2020;;;;EIFFAGE;;;;GG1;FALSE;P.S.: PRECIADOS, 10 MADRID-1;;12/04/2024;;1;;FALSE;;0,00 €;0,00 €;;0,00 €;NO INICIADA;;;;22/10/2022;;0;5620005372;;;MEDIA;5;FALSE;I;;158,91 €;86,20 €;;TGA;FALSE;;;;OR;CEN;MADRID                                            ;28/02/2020;;;;;2;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;;;TRUE;;FALSE;;NO APLICA;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;CENTRO;;0;117,09;;;;;FALSE
FALSE;418117020499.9;P.S.: PRECIADOS, 10 MADRID;PEND.INST.PART;0;;9182;4,18117E+11;;16/07/2024;26/07/2024;;;Necesidad de ampliar la red BT.;;;03/03/2017;;OP MAD CAPITAL SUR;COBRO UNICO;PLANIFICADA;EIFFAGE;PRESUPUESTO ELABORADO;16/07/2024;26/07/2024;0,00 €;0,00 €;0,00 €;0,00 €;0,25 €;0,25 €;0,00 €;41,57 €;41,57 €;0,00 €;41,82 €;41,82 €;;;;;;;;;;;;MADRID;CONCERTADO;PROVISION DE SERVICIOS;SI;30;14/02/2019;;;;03/03/2017;24/04/2020;;;;EIFFAGE;;;;GG1;FALSE;P.S.: PRECIADOS, 10 MADRID-1;;12/04/2024;;1;;FALSE;;0,00 €;0,00 €;;0,00 €;NO INICIADA;;;;22/10/2022;;0;5620005372;;;MEDIA;5;FALSE;I;;158,91 €;86,20 €;;TGA;FALSE;;;;OR;CEN;MADRID                                            ;28/02/2020;;;;;;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;;;TRUE;;FALSE;;SEQUEIRO IGLESIAS JOSE JOAQUIN;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;CENTRO;;0;41,82;;;;;FALSE
FALSE;418519080021.1;P.S.: ISABEL MENDEZ, 29 MADRID;STOP;0;;9182;4,18519E+11;STOP;14/11/2023;30/11/2023;CENTRO DE TELEGESTIO;DEBE INSTALAR CGP EN LA UBICACIÓN INDICADA EN EL ESTUDIO DEJANDO TUBO PASAMUROS PARA ENTRADA ACOMETIDA SUBTERRÁNEA;Necesidad de ampliar la red BT.;PENDIENTE CONTRATA: GEOPORTAL;28/08/2019;30/11/2023;Obra civil, PAT, Instalaciones de enlace, RSBT, LAMT;OP MAD CAPITAL SUR;ENCARGO DE EJECUCION;EJECUTABLE;EIFFAGE;ENCARGO DE EJECUCION;14/11/2023;30/11/2023;0,00 €;97,97 €;97,97 €;0,00 €;163,75 €;163,75 €;0,00 €;1.087,81 €;1.087,81 €;0,00 €;1.349,53 €;1.349,53 €;;;;;;;;;;;;MADRID;CONCERTADO;PROVISION DE SERVICIOS;SI;30;22/10/2019;;16/10/2020;;28/08/2019;28/08/2019;16/10/2020;;;EIFFAGE;;;;GG1;FALSE;P.S.: ISABEL MENDEZ, 29 MADRID-1;;12/04/2024;;0;DEFECTO EN INSTALACIÓN PARTICULAR;FALSE;18/12/2023;0,00 €;0,00 €;;0,00 €;OBRA NO INICIADA;13/05/2020;28/08/2023;3017;22/07/2023;ET;11;5624000070;15/10/2020;09/05/2021;ALTA;3;FALSE;I;;1.349,53 €;1.087,81 €;Francisco Javier De Pablos Cecilia;TGA;TRUE;;ET;CZE;MA;CEN;MADRID                                            ;28/02/2020;;SI;;18/11/2023;5;;2;FALSE;FALSE;SGT;;;;;;;RED MT/BT;3;29/11/2023;FALSE;;FALSE;;NO APLICA;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;PUENTE DE VALLECAS;;0;1349,53;;;;;TRUE
FALSE;418519070337.1;P.S.: SAN JAIME, 2 MADRID;STOP;0;;9182;4,18519E+11;;16/07/2024;16/07/2024;;1/10/2021 stop;Necesidad de ampliar la red BT.;;;07/11/2019;;OP MAD CAPITAL SUR;COBRO UNICO;PLANIFICADA;EIFFAGE;PRESUPUESTO ELABORADO;16/07/2024;16/07/2024;0,00 €;37,44 €;37,44 €;0,00 €;0,26 €;0,26 €;0,00 €;75,16 €;75,16 €;0,00 €;112,86 €;112,86 €;;;;;;;;;;;;MADRID;LLAVE EN MANO;PROVISION DE SERVICIOS;SI;30;07/11/2019;;;;07/11/2019;07/11/2019;;;;EIFFAGE;;;;GG1;FALSE;P.S.: SAN JAIME, 2 MADRID-1;;12/04/2024;;1;PTE. TR7 (CLIENTE);FALSE;;0,00 €;0,00 €;;0,00 €;NO INICIADA;;;;22/10/2022;;1;5620005372;;;MEDIA;5;FALSE;I;;112,86 €;75,16 €;;TGA;FALSE;;;;OR;CEN;MADRID                                            ;28/02/2020;;;;;;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;1;09/06/2021;TRUE;;FALSE;;SEQUEIRO IGLESIAS JOSE JOAQUIN;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;VILLA DE VALLECAS;;0;112,86;;;;;FALSE
FALSE;418114050091.9;P.S.: ALBUFERA, 0000 MADRID;PEND.INST.PART;0;;9182;4,18114E+11;;10/04/2024;10/05/2024;;1/10/2021 no programable;Necesidad de ampliar la red BT.;RETROCEDIDO;;28/07/2014;;OP MAD CAPITAL SUR;COBRO UNICO;PLANIFICADA;COBRA INSTALACIONES;PRESUPUESTO ELABORADO;10/04/2024;10/05/2024;0,00 €;0,00 €;0,00 €;0,00 €;0,25 €;0,25 €;0,00 €;40,38 €;40,38 €;0,00 €;40,63 €;40,63 €;;;;;;;;;;;;MADRID;;PROVISION DE SERVICIOS;SI;30;14/11/2019;;;;12/05/2014;28/07/2014;;;;EIFFAGE;;;;GG1;FALSE;P.S.: ALBUFERA, 0000 MADRID-9;;12/04/2024;;1;;FALSE;;0,00 €;0,00 €;;0,00 €;NO INICIADA;;;;18/03/2022;;1;5620005372;;;MEDIA;5;FALSE;I;;67,82 €;67,57 €;Carlos Alberto Perez Feijoo;TGA;FALSE;;;;OR;CEN;MADRID                                            ;28/02/2020;;;;;;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;;;TRUE;;FALSE;;NO APLICA;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;PUENTE DE VALLECAS;;0;40,63;;;;;FALSE
FALSE;418419070274.1;P.S.: CARRETAS, 10 MADRID;STOP;0;;9182;4,18419E+11;STOP;28/08/2023;07/09/2023;CENTRO DE TELEGESTIO;27/08 Mandar correo a A Linares para que la anule;Necesidad de ampliar la red BT.;PENDIENTE CONTRATA: REFORMADO/RTE;;06/10/2021;Instalaciones de enlace, Obra civil, RSBT, PAT;OP MAD CAPITAL SUR;ENCARGO DE EJECUCION;EJECUTABLE;EIFFAGE;ENCARGO DE EJECUCION;28/08/2023;07/09/2023;0,00 €;136,97 €;136,97 €;0,00 €;0,00 €;0,00 €;0,00 €;1.005,67 €;1.005,67 €;0,00 €;1.142,64 €;1.142,64 €;;;;;;;;;;;;MADRID;CONCERTADO;PROVISION DE SERVICIOS;SI;30;14/11/2019;;21/08/2020;;14/11/2019;14/11/2019;21/08/2020;;;EIFFAGE;;;;GG1;FALSE;P.S.: CARRETAS, 10 MADRID-1;;12/04/2024;;0;DEFECTO EN INSTALACIÓN PARTICULAR;FALSE;12/06/2020;0,00 €;0,00 €;;0,00 €;OBRA NO INICIADA;13/05/2020;05/08/2021;3017;24/07/2021;ET-AM;6;5624000070;18/06/2020;25/08/2021;ALTA;3;FALSE;I;;1.142,64 €;1.005,67 €;Francisco Javier De Pablos Cecilia;TGA;TRUE;;ET-AM;;ARG;CEN;MADRID                                            ;28/02/2020;;SI;;22/05/2020;1;;2;FALSE;FALSE;SGT;;;;;;;RED MT/BT;1;08/10/2021;TRUE;;FALSE;;NO APLICA;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;CENTRO;;0;1142,64;;;;;TRUE
FALSE;418519060328.1;RET.: SIERRA DE GREDOS, 9 MADRID;REPROGRAMAR;0;;9182;4,18519E+11;STOP;19/08/2024;31/08/2024;GARCIA VALENCIA ALBERTO;04/12 Cerrar expediente, el cliente dice que no quiere al obra;;VALIDACIÓN GEOPORTAL;13/03/2020;;Trabajos en CT, Obra civil, Desmontaje, RSBT, PAT;OP MAD CAPITAL SUR;ENCARGO DE EJECUCION;EJECUTABLE;EIFFAGE;ENCARGO DE EJECUCION;19/08/2024;31/08/2024;0,00 €;67,13 €;67,13 €;0,00 €;2,32 €;2,32 €;0,00 €;406,86 €;406,86 €;0,00 €;476,31 €;476,31 €;;;;;;;;;;;;MADRID;CONCERTADO;MODIFICACION DE INSTALACI;SI;0;16/01/2020;;08/07/2021;;16/01/2020;16/01/2020;26/11/2022;;;EIFFAGE;;;;GG1;TRUE;RET.: SIERRA DE GREDOS, 9 MADRID-1;;12/04/2024;;1;;FALSE;;0,00 €;0,00 €;;0,00 €;OBRA NO INICIADA;13/05/2020;04/12/2023;3150;03/02/2024;;8;5624000070;19/03/2021;25/11/2023;MEDIA;5;FALSE;I;Necesidad nuevo TERed (avería no finalizada en semana en curso);3.335,81 €;2.720,85 €;GARCIA VALENCIA ALBERTO;TGA;TRUE;90071052;;CZE;;CEN;MADRID                                            ;28/02/2020;24/05/2024;SI;1;25/11/2023;2;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;2;28/10/2023;TRUE;Anomalías instalación cliente;FALSE;;NO APLICA;;FALSE;DESPLAZAMIENTOS DE RED ELECTRICIDAD;;;FALSE;MADRID;VILLA DE VALLECAS;;0;476,31;;;;;TRUE
FALSE;918220030088.1;P.S.: VICALVARO A COSLADA, 48 MADRID;STOP;0;;9182;9,1822E+11;STOP;28/08/2023;07/09/2023;CENTRO DE TELEGESTIO;No hay armario;Necesidad de ampliar la red BT.;PENDIENTE CONTRATA: GEOPORTAL;02/06/2020;01/09/2021;Instalaciones de enlace, Obra civil, RSBT, PAT, LAMT;OP MAD CAPITAL SUR;ENCARGO DE EJECUCION;EJECUTABLE;EIFFAGE;ENCARGO DE EJECUCION;28/08/2023;07/09/2023;0,00 €;60,31 €;60,31 €;0,00 €;25,30 €;25,30 €;0,00 €;350,03 €;350,03 €;0,00 €;435,64 €;435,64 €;;;;;;;;;;;;MADRID;CONCERTADO;PROVISION DE SERVICIOS;SI;30;13/03/2020;;16/10/2020;;13/03/2020;13/03/2020;16/10/2020;;;EIFFAGE;;;;GG1;FALSE;P.S.: VICALVARO A COSLADA, 48 MADRID-1;;12/04/2024;;0;DEFECTO EN INSTALACIÓN PARTICULAR;FALSE;12/06/2020;0,00 €;0,00 €;;0,00 €;OBRA NO INICIADA;13/05/2020;19/08/2021;3017;10/10/2020;ET;1;5624000070;15/10/2020;09/05/2021;ALTA;3;FALSE;I;;435,64 €;350,03 €;Francisco Javier De Pablos Cecilia;TGA;TRUE;;ET;CZE;ARG;CEN;MADRID                                            ;16/03/2020;;SI;;13/05/2020;1;;1;FALSE;FALSE;SGT;;;;;;;RED MT/BT;1;04/09/2021;FALSE;;FALSE;;NO APLICA;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;;;0;435,64;;;;;TRUE
FALSE;418418100073.1;RET.: MARROQUINA, 34 MADRID;REPROGRAMAR;0;;9182;4,18418E+11;;29/02/2024;20/05/2024;CENTRO DE TELEGESTIO;13/11 Sin documentación en expediente digital;;PENDIENTE CONTRATA: GEOPORTAL;;;;OP MAD CAPITAL SUR;ENCARGO DE EJECUCION;EJECUTABLE;EIFFAGE;ENCARGO DE EJECUCION;29/02/2024;20/05/2024;0,00 €;42,01 €;42,01 €;0,00 €;20,43 €;20,43 €;0,00 €;455,34 €;455,34 €;0,00 €;517,78 €;517,78 €;;;;;;;;;;;;MADRID;CONCERTADO;MODIFICACION DE INSTALACI;SI;0;26/03/2020;;22/11/2023;;23/11/2018;23/11/2018;22/11/2023;;;EIFFAGE;;;;GG1;TRUE;RET.: MARROQUINA, 34 MADRID-1;;12/04/2024;;0;;FALSE;;0,00 €;0,00 €;;0,00 €;OBRA NO INICIADA;18/05/2023;06/02/2024;3247;04/11/2023;;1;5624000070;21/11/2023;03/02/2024;MEDIA;3;FALSE;I;Necesidad nuevo TERed (avería no finalizada en semana en curso);517,78 €;455,34 €;Xosé Carlos Velon Vázquez;TGA;FALSE;90093025;;;;CEN;MADRID                                            ;17/05/2023;02/08/2024;SI;1;03/02/2024;4;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;2;01/02/2024;FALSE;Necesidad nuevo TERed (avería no finalizada en semana en curso);FALSE;;NO APLICA;;FALSE;DESPLAZAMIENTOS DE RED ELECTRICIDAD;;;FALSE;MADRID;MORATALAZ;;0;517,78;;;;;TRUE
FALSE;418116080269.1;P.S.: REINA CRISTINA, 2 MADRID;STOP;0;;9182;4,18116E+11;STOP;22/12/2020;01/01/2021;;1/10/2021 stop;Necesidad de ampliar la red BT.;;;01/09/2017;;OP MAD CAPITAL SUR;COBRO UNICO;EJECUTABLE;EIFFAGE;PRESUPUESTO ELABORADO;22/12/2020;01/01/2021;0,00 €;60,58 €;60,58 €;0,00 €;0,00 €;0,00 €;0,00 €;277,08 €;277,08 €;0,00 €;337,66 €;337,66 €;;;;;;;;;;;;MADRID;CONCERTADO;PROVISION DE SERVICIOS;SI;30;24/04/2020;;;;01/09/2017;24/04/2020;;;;EIFFAGE;;;;GG1;FALSE;P.S.: REINA CRISTINA, 2 MADRID-1;;12/04/2024;;1;PTE. TR7 (CLIENTE);FALSE;;0,00 €;0,00 €;;0,00 €;OBRA NO INICIADA;16/12/2020;;;24/10/2020;ET;1;5620005372;;;MEDIA;5;FALSE;I;;337,66 €;277,08 €;;TTD;FALSE;;ET;;OR;CEN;MADRID                                            ;28/02/2020;;;;16/12/2020;;;;FALSE;FALSE;SGT;;;;;;;RED MT/BT;1;09/06/2021;TRUE;;FALSE;;SEQUEIRO IGLESIAS JOSE JOAQUIN;;FALSE;EXTENSIÓN DE RED OBLIGATORIA;;;FALSE;MADRID;RETIRO;;0;337,66;;;;;TRUE
